Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
vert.x,io.vertx.core.cli,ArgumentConverter,fromJson,Complex Method,Cyclomatic complexity of the method is 16,20
vert.x,io.vertx.core.cli,OptionConverter,fromJson,Complex Method,Cyclomatic complexity of the method is 28,20
vert.x,io.vertx.core.cli,OptionConverter,toJson,Complex Method,Cyclomatic complexity of the method is 8,98
vert.x,io.vertx.core.cli,AmbiguousOptionException,AmbiguousOptionException,Long Statement,The length of the statement "super("Ambiguous argument in command line: '" + token + "' matches "+ matchingOpts.stream().map(Option::getName).collect(Collectors.toList()));" is 143.,29
vert.x,io.vertx.core.cli,InvalidValueException,InvalidValueException,Long Statement,The length of the statement "super("The value '" + value + "' is not accepted by the argument '"+ (argument.getArgName() != null ? argument.getArgName() : argument.getIndex())+ "'"`cause);" is 159.,36
vert.x,io.vertx.core.cli,MissingOptionException,MissingOptionException,Long Statement,The length of the statement "super("The option" + (expected.size() > 1 ? "s " : " ") + expected.stream().map(Option::getName).collect(Collectors.toList())+ (expected.size() > 1 ? " are" : " is")+ " required");" is 180.,25
vert.x,io.vertx.core.cli,MissingValueException,MissingValueException,Long Statement,The length of the statement "super("The argument '" + (argument.getArgName() != null ? argument.getArgName() : argument.getIndex()) + "' is required");" is 122.,35
vert.x,io.vertx.core.cli,Option,ensureValidity,Complex Conditional,The conditional expression (shortName == null || shortName.equals(NO_NAME)) && (longName == null || longName.equals(NO_NAME)) is complex.,156
vert.x,io.vertx.core.cli,TypedOption,setType,Complex Conditional,The conditional expression type != null && getChoices().isEmpty() && type.isEnum() is complex.,132
vert.x,io.vertx.core.cli,UsageMessageFormatter,appendOption,Complex Conditional,The conditional expression option.acceptValue() && (option.getArgName() == null || option.getArgName().length() != 0) is complex.,190
vert.x,io.vertx.core.cli,UsageMessageFormatter,renderOptionsAndArguments,Complex Method,Cyclomatic complexity of the method is 22,418
vert.x,io.vertx.core.cli,UsageMessageFormatter,renderWrappedTextBlock,Empty catch clause,The method has an empty catch block.,595
vert.x,io.vertx.core.cli,UsageMessageFormatter,findWrapPos,Complex Conditional,The conditional expression c == ' ' || c == '\n' || c == '\r' is complex.,624
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,testCreation,Long Statement,The length of the statement "AmbiguousOptionException exception=new AmbiguousOptionException("foo"`Arrays.asList(new Option().setLongName("foobar")`new Option().setLongName("foobaz")));" is 156.,25
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,testCreation,Long Statement,The length of the statement "assertThat(exception.getMessage()).contains("Ambiguous argument in command line").contains("'foo'").contains("foobar").contains("foobaz");" is 138.,25
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,testCreation,Magic Number,The method contains a magic number: 2,25
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Long Statement,The length of the statement "Option option=new Option().setArgName(TestUtils.randomAlphaString(100)).addChoice(TestUtils.randomAlphaString(100)).setDefaultValue(TestUtils.randomAlphaString(100)).setDescription(TestUtils.randomAlphaString(100)).setFlag(TestUtils.randomBoolean()).setHelp(TestUtils.randomBoolean()).setHidden(TestUtils.randomBoolean()).setLongName(TestUtils.randomAlphaString(100)).setMultiValued(TestUtils.randomBoolean()).setRequired(TestUtils.randomBoolean()).setShortName(TestUtils.randomAlphaString(100)).setSingleValued(TestUtils.randomBoolean());" is 539.,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Magic Number,The method contains a magic number: 100,23
vert.x,io.vertx.core.datagram,DatagramSocketOptionsConverter,fromJson,Complex Method,Cyclomatic complexity of the method is 12,20
vert.x,io.vertx.core.datagram,DatagramTest,tearDown,Magic Number,The method contains a magic number: 2,52
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Magic Number,The method contains a magic number: 65536,68
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Magic Number,The method contains a magic number: 65536,68
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Magic Number,The method contains a magic number: 65536,68
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Magic Number,The method contains a magic number: 65536,68
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Magic Number,The method contains a magic number: 65536,68
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Long Statement,The length of the statement "assertTrue("Was expecting an unpooled buffer instead of " + buff.getClass().getSimpleName()`buff instanceof UnpooledHeapByteBuf);" is 129.,94
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Magic Number,The method contains a magic number: 2,94
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Magic Number,The method contains a magic number: 128,94
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Magic Number,The method contains a magic number: 1234,94
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Magic Number,The method contains a magic number: 1234,94
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceiveLargePacket,Magic Number,The method contains a magic number: 10000,134
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceiveLargePacket,Magic Number,The method contains a magic number: 16,134
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceiveLargePacket,Magic Number,The method contains a magic number: 1234,134
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceiveLargePacket,Magic Number,The method contains a magic number: 1234,134
vert.x,io.vertx.core.datagram,DatagramTest,testSender,Magic Number,The method contains a magic number: 1234,153
vert.x,io.vertx.core.datagram,DatagramTest,testSender,Magic Number,The method contains a magic number: 128,153
vert.x,io.vertx.core.datagram,DatagramTest,testSender,Magic Number,The method contains a magic number: 1234,153
vert.x,io.vertx.core.datagram,DatagramTest,testListenHostPort,Magic Number,The method contains a magic number: 1234,173
vert.x,io.vertx.core.datagram,DatagramTest,testListenPort,Magic Number,The method contains a magic number: 1234,182
vert.x,io.vertx.core.datagram,DatagramTest,testListenInetSocketAddress,Magic Number,The method contains a magic number: 1234,191
vert.x,io.vertx.core.datagram,DatagramTest,testListenSamePortMultipleTimes,Long Statement,The length of the statement "peer2.listen(1234`"127.0.0.1").onComplete(onSuccess(v -> peer1.listen(1234`"127.0.0.1").onComplete(onFailure(err -> testComplete()))));" is 135.,200
vert.x,io.vertx.core.datagram,DatagramTest,testListenSamePortMultipleTimes,Magic Number,The method contains a magic number: 1234,200
vert.x,io.vertx.core.datagram,DatagramTest,testListenSamePortMultipleTimes,Magic Number,The method contains a magic number: 1234,200
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1234,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 128,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1235,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1235,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1235,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1234,211
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Magic Number,The method contains a magic number: 1234,211
vert.x,io.vertx.core.datagram,DatagramTest,testSendAfterCloseFails,Magic Number,The method contains a magic number: 1234,238
vert.x,io.vertx.core.datagram,DatagramTest,testSendAfterCloseFails,Magic Number,The method contains a magic number: 1234,238
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcast,Magic Number,The method contains a magic number: 1234,256
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcast,Magic Number,The method contains a magic number: 128,256
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcast,Magic Number,The method contains a magic number: 1234,256
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcastFailsIfNotConfigured,Magic Number,The method contains a magic number: 1234,275
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Long Statement,The length of the statement "testMulticastJoinLeave("0.0.0.0"`new DatagramSocketOptions()`new DatagramSocketOptions().setMulticastNetworkInterface(iface)`(groupAddress`handler) -> {" is 152.,287
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Long Parameter List,The method has 5 parameters. ,320
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Magic Number,The method contains a magic number: 1234,320
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Magic Number,The method contains a magic number: 1234,320
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Magic Number,The method contains a magic number: 1000,320
