Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
vert.x,io.vertx.core.cli,ArgumentConverter,fromJson,41,16,2,20,0,io.vertx.core.cli.Argument,io.vertx.core.cli.Argument
vert.x,io.vertx.core.cli,ArgumentConverter,toJson,3,1,2,62,0,io.vertx.core.json.JsonObject,io.vertx.core.json.JsonObject
vert.x,io.vertx.core.cli,ArgumentConverter,toJson,15,4,2,66,0,io.vertx.core.cli.Argument,io.vertx.core.cli.Argument
vert.x,io.vertx.core.cli,OptionConverter,fromJson,73,28,2,20,0,io.vertx.core.cli.Option,io.vertx.core.cli.Option
vert.x,io.vertx.core.cli,OptionConverter,toJson,3,1,2,94,0,io.vertx.core.json.JsonObject,io.vertx.core.json.JsonObject
vert.x,io.vertx.core.cli,OptionConverter,toJson,31,8,2,98,0,io.vertx.core.cli.Option,io.vertx.core.cli.Option; io.vertx.core.json.JsonArray
vert.x,io.vertx.core.cli,AmbiguousOptionException,AmbiguousOptionException,5,1,2,29,0,,
vert.x,io.vertx.core.cli,AmbiguousOptionException,getOptions,3,1,0,42,0,,
vert.x,io.vertx.core.cli,AmbiguousOptionException,getToken,3,1,0,49,0,,
vert.x,io.vertx.core.cli,Argument,Argument,2,1,0,70,0,,
vert.x,io.vertx.core.cli,Argument,Argument,10,1,1,77,0,,
vert.x,io.vertx.core.cli,Argument,Argument,4,1,1,93,0,,
vert.x,io.vertx.core.cli,Argument,toJson,5,1,0,104,0,io.vertx.core.cli.ArgumentConverter,io.vertx.core.cli.ArgumentConverter
vert.x,io.vertx.core.cli,Argument,getArgName,3,1,0,116,0,,
vert.x,io.vertx.core.cli,Argument,setArgName,5,1,1,123,0,,
vert.x,io.vertx.core.cli,Argument,getDescription,3,1,0,135,0,,
vert.x,io.vertx.core.cli,Argument,setDescription,5,1,1,142,0,,
vert.x,io.vertx.core.cli,Argument,isHidden,3,1,0,154,0,,
vert.x,io.vertx.core.cli,Argument,setHidden,4,1,1,161,0,,
vert.x,io.vertx.core.cli,Argument,getIndex,3,1,0,172,0,,
vert.x,io.vertx.core.cli,Argument,setIndex,7,2,1,179,0,,
vert.x,io.vertx.core.cli,Argument,isRequired,3,1,0,193,0,,
vert.x,io.vertx.core.cli,Argument,setRequired,4,1,1,200,0,,
vert.x,io.vertx.core.cli,Argument,getDefaultValue,3,1,0,211,0,,
vert.x,io.vertx.core.cli,Argument,setDefaultValue,4,1,1,218,0,,
vert.x,io.vertx.core.cli,Argument,isMultiValued,3,1,0,229,0,,
vert.x,io.vertx.core.cli,Argument,setMultiValued,4,1,1,236,0,,
vert.x,io.vertx.core.cli,Argument,ensureValidity,5,2,0,247,0,,
vert.x,io.vertx.core.cli,CLI,create,3,1,1,45,0,io.vertx.core.cli.impl.DefaultCLI,io.vertx.core.cli.impl.DefaultCLI
vert.x,io.vertx.core.cli,CLI,create,3,1,1,55,0,io.vertx.core.cli.annotations.CLIConfigurator,io.vertx.core.cli.annotations.CLIConfigurator
vert.x,io.vertx.core.cli,CLI,parse,0,1,1,67,0,,
vert.x,io.vertx.core.cli,CLI,parse,0,1,2,75,0,,
vert.x,io.vertx.core.cli,CLI,getName,0,1,0,84,0,,
vert.x,io.vertx.core.cli,CLI,setName,0,1,1,89,0,,
vert.x,io.vertx.core.cli,CLI,getDescription,0,1,0,98,0,,
