Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,testCreation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,testCreation,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.vertx.core.cli.AmbiguousOptionException.getToken; io.vertx.core.cli.Option.setLongName; io.vertx.core.cli.AmbiguousOptionException.getOptions
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 24
vert.x,io.vertx.core.cli,OptionTest,createAndCopy,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.vertx.core.cli.Option.getDescription; io.vertx.core.cli.Option.isHelp; io.vertx.core.cli.Option.getArgName; io.vertx.core.cli.Option.isFlag; io.vertx.core.cli.Option.getChoices; io.vertx.core.cli.Option.isSingleValued; io.vertx.core.cli.Option.toJson; io.vertx.core.cli.Option.setArgName; io.vertx.core.cli.Option.getShortName; io.vertx.core.cli.Option.isRequired; io.vertx.core.cli.Option.isMultiValued; io.vertx.core.cli.Option.getLongName; io.vertx.core.cli.Option.isHidden; io.vertx.core.cli.Option.getDefaultValue
vert.x,io.vertx.core.datagram,DatagramTest,testDatagramSocket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceive,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.vertx.core.datagram.DatagramSocket.handler; io.vertx.core.Vertx.currentContext; io.vertx.core.datagram.DatagramSocket.listen; io.vertx.core.datagram.DatagramSocket.send; io.vertx.core.Context.runOnContext; io.vertx.core.datagram.DatagramPacket.data; io.vertx.core.datagram.DatagramSocket.exceptionHandler; io.vertx.core.buffer.impl.BufferInternal.getByteBuf
vert.x,io.vertx.core.datagram,DatagramTest,testSendReceiveLargePacket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
vert.x,io.vertx.core.datagram,DatagramTest,testSender,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
vert.x,io.vertx.core.datagram,DatagramTest,testListenHostPort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testListenPort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testListenInetSocketAddress,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testListenSamePortMultipleTimes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
vert.x,io.vertx.core.datagram,DatagramTest,testEcho,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.vertx.core.datagram.DatagramSocket.listen; io.vertx.core.datagram.DatagramSocket.exceptionHandler
vert.x,io.vertx.core.datagram,DatagramTest,testSendAfterCloseFails,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcast,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
vert.x,io.vertx.core.datagram,DatagramTest,testBroadcastFailsIfNotConfigured,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testPause,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testPause,Empty test,The tool detected the smell in this test method because the test is empty.
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeave,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeaveReuseMulticastNetworkInterface,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinLeaveBindOnMulticastGroup,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastJoinWithoutNetworkInterface,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testMulticastLeaveWithoutNetworkInterface,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
vert.x,io.vertx.core.datagram,DatagramTest,testOptions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 34
