Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
vert.x,io.vertx.core.cli,OptionConverter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.vertx.core.json.JsonArray
vert.x,io.vertx.core.cli,Argument,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ARG_NAME
vert.x,io.vertx.core.cli,Option,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ARG_NAME; NO_NAME
vert.x,io.vertx.core.cli,UsageMessageFormatter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_WIDTH; DEFAULT_LEFT_PAD; DEFAULT_DESC_PAD; DEFAULT_USAGE_PREFIX; DEFAULT_OPT_PREFIX; DEFAULT_LONG_OPT_PREFIX; DEFAULT_LONG_OPT_SEPARATOR; DEFAULT_ARG_NAME
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.vertx.core.cli.AmbiguousOptionException
vert.x,io.vertx.core.cli,OptionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.vertx.core.cli.Option
vert.x,io.vertx.core.datagram,DatagramSocketOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_BROADCAST; isLoopbackModeDisabled; defaultMulticastTTL; multicastInterface; DEFAULT_REUSE_ADDRESS; DEFAULT_IPV6
vert.x,io.vertx.core.datagram,DatagramTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.vertx.core.datagram.DatagramSocketOptions; io.vertx.core.datagram.DatagramSocket; io.vertx.core.json.JsonObject
vert.x,io.vertx.core.datagram,DatagramTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
vert.x,io.vertx.core.datagram,DatagramTest,Law of Demeter violation,The tool detected the smell in this method (testWorker) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.core.Future.mapEmpty; io.vertx.core.datagram.DatagramSocket.listen
vert.x,io.vertx.core.datagram,DatagramTest,Law of Demeter violation,The tool detected the smell in this method (start) because the method voilates the law of Demeter. The long chain of method invocations is : io.vertx.core.Future.mapEmpty; io.vertx.core.datagram.DatagramSocket.listen
