Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
vert.x,io.vertx.core.cli,Argument,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ARG_NAME
vert.x,io.vertx.core.cli,Option,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ARG_NAME; NO_NAME
vert.x,io.vertx.core.cli,UsageMessageFormatter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_WIDTH; DEFAULT_LEFT_PAD; DEFAULT_DESC_PAD; DEFAULT_USAGE_PREFIX; DEFAULT_OPT_PREFIX; DEFAULT_LONG_OPT_PREFIX; DEFAULT_LONG_OPT_SEPARATOR; DEFAULT_ARG_NAME
vert.x,io.vertx.core.datagram,DatagramSocketOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_BROADCAST; DEFAULT_LOOPBACK_MODE_DISABLED; DEFAULT_MULTICAST_TIME_TO_LIVE; DEFAULT_MULTICAST_NETWORK_INTERFACE; DEFAULT_REUSE_ADDRESS; DEFAULT_IPV6
vert.x,io.vertx.core.datagram,DatagramTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
vert.x,io.vertx.core,DeploymentOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_WORKER; DEFAULT_HA; DEFAULT_INSTANCES
vert.x,io.vertx.core,Vertx,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
vert.x,io.vertx.core,VertxOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_EVENT_LOOP_POOL_SIZE; DEFAULT_WORKER_POOL_SIZE; DEFAULT_INTERNAL_BLOCKING_POOL_SIZE; DEFAULT_BLOCKED_THREAD_CHECK_INTERVAL; DEFAULT_BLOCKED_THREAD_CHECK_INTERVAL_UNIT; DEFAULT_MAX_EVENT_LOOP_EXECUTE_TIME; DEFAULT_MAX_EVENT_LOOP_EXECUTE_TIME_UNIT; DEFAULT_MAX_WORKER_EXECUTE_TIME; DEFAULT_MAX_WORKER_EXECUTE_TIME_UNIT; DEFAULT_QUORUM_SIZE; DEFAULT_HA_GROUP; DEFAULT_HA_ENABLED; DEFAULT_PREFER_NATIVE_TRANSPORT; DEFAULT_WARNING_EXCEPTION_TIME_UNIT; DEFAULT_DISABLE_TCCL; DEFAULT_USE_DAEMON_THREAD
vert.x,io.vertx.core,VertxOptions,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
vert.x,io.vertx.core,CustomerLauncherLowMemoryTest.Launcher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,CustomerLauncherLowMemoryTest.Verticle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,DeploymentTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
vert.x,io.vertx.core,DeploymentTest.ParentVerticle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,DeploymentTest.ChildVerticle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,DeploymentTest.MyVerticle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,DeploymentTest.ReferenceSavingMyVerticle,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
vert.x,io.vertx.core,FutureTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
vert.x,io.vertx.core,LauncherTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
vert.x,io.vertx.core,VertxTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
vert.x,io.vertx.core.dns,AddressResolverOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_SERVERS; DEFAULT_OPT_RESOURCE_ENABLED; DEFAULT_CACHE_MIN_TIME_TO_LIVE; DEFAULT_CACHE_MAX_TIME_TO_LIVE; DEFAULT_CACHE_NEGATIVE_TIME_TO_LIVE; DEFAULT_QUERY_TIMEOUT; DEFAULT_MAX_QUERIES; DEFAULT_RD_FLAG; DEFAULT_SEACH_DOMAINS; DEFAULT_NDOTS; DEFAULT_ROTATE_SERVERS; DEFAULT_ROUND_ROBIN_INET_ADDRESS
vert.x,io.vertx.core.dns,DnsClientOptions,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_PORT; DEFAULT_HOST; DEFAULT_QUERY_TIMEOUT; DEFAULT_LOG_ENABLED; DEFAULT_LOG_ACTIVITY_FORMAT; DEFAULT_RECURSION_DESIRED
