Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
vert.x,io.vertx.core.cli,ArgumentConverter,2,0,3,0,66,21,0,0,1.0,1,3,C:\Users\viraj\git\.\vert.x\src\main\generated\io\vertx\core\cli\ArgumentConverter.java,10
vert.x,io.vertx.core.cli,OptionConverter,2,0,3,0,114,37,0,0,1.0,1,4,C:\Users\viraj\git\.\vert.x\src\main\generated\io\vertx\core\cli\OptionConverter.java,10
vert.x,io.vertx.core.cli,AmbiguousOptionException,2,0,3,3,30,3,0,1,0.0,1,0,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\AmbiguousOptionException.java,18
vert.x,io.vertx.core.cli,Argument,8,1,19,19,195,21,1,0,0.21052631578947367,7,2,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\Argument.java,19
vert.x,io.vertx.core.cli,CLI,0,0,29,0,172,29,0,0,-1.0,9,4,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\CLI.java,23
vert.x,io.vertx.core.cli,CLIException,0,0,2,2,21,2,4,0,-1.0,0,0,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\CLIException.java,14
vert.x,io.vertx.core.cli,CommandLine,0,0,20,0,133,20,0,0,-1.0,10,3,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\CommandLine.java,21
vert.x,io.vertx.core.cli,InvalidValueException,3,0,6,6,59,6,0,1,0.0,0,2,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\InvalidValueException.java,14
vert.x,io.vertx.core.cli,MissingOptionException,1,0,2,2,21,2,0,1,0.0,0,0,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\MissingOptionException.java,17
vert.x,io.vertx.core.cli,MissingValueException,2,0,4,4,38,4,0,1,0.0,0,2,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\MissingValueException.java,14
vert.x,io.vertx.core.cli,Option,14,2,32,32,328,37,1,0,0.125,10,2,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\Option.java,21
vert.x,io.vertx.core.cli,TypedArgument,2,0,14,14,96,15,0,1,0.6428571428571429,0,1,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\TypedArgument.java,16
vert.x,io.vertx.core.cli,TypedOption,4,0,24,23,135,27,0,1,0.5416666666666666,1,1,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\TypedOption.java,20
vert.x,io.vertx.core.cli,UsageMessageFormatter,18,8,37,32,514,97,0,0,0.0,0,3,C:\Users\viraj\git\.\vert.x\src\main\java\io\vertx\core\cli\UsageMessageFormatter.java,21
vert.x,io.vertx.core.cli,AmbiguousOptionExceptionTest,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\viraj\git\.\vert.x\src\test\java\io\vertx\core\cli\AmbiguousOptionExceptionTest.java,20
vert.x,io.vertx.core.cli,OptionTest,0,0,1,1,34,1,0,0,-1.0,0,2,C:\Users\viraj\git\.\vert.x\src\test\java\io\vertx\core\cli\OptionTest.java,18
vert.x,io.vertx.core.datagram,DatagramSocketOptionsConverter,2,0,3,0,50,15,0,0,1.0,1,3,C:\Users\viraj\git\.\vert.x\src\main\generated\io\vertx\core\datagram\DatagramSocketOptionsConverter.java,10
